"image_path","class_name","class_id","xml_label","source_folder","folder_matches_xml","split"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_02_425503100_00017.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_02_425506300_00018.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_02_425506400_00018.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_02_425508300_00017.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_02_425640100_00874.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_3403392100_00870.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_3403394800_00844.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_3403397300_00901.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_3403399200_00770.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_3403400200_00567.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_3403400600_00936.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_3403402100_00857.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_3403404300_01219.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_3403404800_00998.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_424992300_00001.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_425501900_00017.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_425503000_00017.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_425503600_00016.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_425505100_00017.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
"C:\Users\Misha\Documents\GitHub\MyProject1\DB\images\images\punching_hole\img_03_425505900_00018.jpg","punching_hole","1","1_chongkong","punching_hole","True","train"
