"image_path","source_folder","reason","xml_labels"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crease\img_01_429539000_00002.jpg","crease","multi_class","6_siban|9_zhehen"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crease\img_03_SIS001559_00006.jpg","crease","multi_class","4_shuiban|7_yiwu"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425007500_01453.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425007600_01072.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425008500_00874.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425244400_00900.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425383400_01036.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425392200_00018.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425501700_00018.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425501900_00018.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425502200_00018.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425502600_00017.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425503000_00018.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425503100_00017.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425503300_00018.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425503500_00017.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425503600_00017.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425503800_00017.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425609500_00746.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425614400_00001.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425616200_00001.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425616300_00001.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425637800_00001.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan|6_siban"
"C:\Users\User\Desktop\MyProject1\DB\images\images\crescent_gap\img_01_425637800_00891.jpg","crescent_gap","multi_class","2_hanfeng|3_yueyawan|6_siban"
